Group	descriptor	Touch No.	Touch_desc	Type	Direction	Contact	Force	Speed (cm/s)	Frequency
body	arm	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	36
body	arm	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	56
body	arm	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	29
body	arm	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	50
body	arm	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	38
body	arm	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	44
body	arm	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	41
body	arm	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	41
body	arm	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	33
body	arm	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	33
body	arm	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	32
body	arm	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	42
body	arm	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	59
body	arm	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	63
body	arm	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	63
body	arm	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	89
body	arm	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	75
body	arm	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	72
body	arm	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	33
body	arm	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	51
body	arm	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	43
body	arm	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	70
body	arm	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	55
body	arm	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	51
body	back	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	20
body	back	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	20
body	back	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	15
body	back	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	20
body	back	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	23
body	back	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	32
body	back	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	16
body	back	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	24
body	back	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	29
body	hand	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	24
body	hand	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	22
body	hand	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	16
body	hand	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	17
body	hand	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	15
body	hand	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	31
body	hand	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	28
body	hand	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	16
body	hand	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	21
body	hand	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	35
body	hand	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	18
body	hand	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	27
body	hand	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	18
body	hand	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	19
body	hand	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	22
body	hand	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	38
body	hand	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	18
body	hand	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	17
body	hand	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	17
body	shoulder	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	28
body	shoulder	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	14
body	shoulder	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	25
body	shoulder	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	22
body	shoulder	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	25
body	shoulder	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	25
body	shoulder	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	28
body	shoulder	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	23
body	shoulder	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	27
body	shoulder	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	28
body	shoulder	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	41
body	shoulder	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	26
body	shoulder	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	15
emotion	affection	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	13
emotion	affection	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	12
emotion	affection	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	34
emotion	affection	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	13
emotion	affection	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	18
emotion	affection	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	14
emotion	affection	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	26
emotion	affection	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	12
emotion	annoy	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	24
emotion	annoy	4	finger vertical 9 strong	vertical finger	vertical	finger	strong	9	42
emotion	annoy	5	finger vertical 18 light	vertical finger	vertical	finger	light	18	37
emotion	annoy	6	finger vertical 18 strong	vertical finger	vertical	finger	strong	18	52
emotion	annoy	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	13
emotion	annoy	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	12
emotion	annoy	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	35
emotion	annoy	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	13
emotion	calm	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	11
emotion	calm	2	finger vertical 3 strong	vertical finger	vertical	finger	strong	3	12
emotion	calm	3	finger vertical 9 light	vertical finger	vertical	finger	light	9	13
emotion	calm	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	77
emotion	calm	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	36
emotion	calm	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	45
emotion	calm	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	32
emotion	calm	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	29
emotion	calm	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	27
emotion	calm	13	finger horizontal 3 light	horizontal finger	horizontal	finger	light	3	48
emotion	calm	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	25
emotion	calm	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	38
emotion	calm	16	finger horizontal 9 strong	horizontal finger	horizontal	finger	strong	9	30
emotion	calm	17	finger horizontal 18 light	horizontal finger	horizontal	finger	light	18	27
emotion	calm	18	finger horizontal 18 strong	horizontal finger	horizontal	finger	strong	18	9
emotion	calm	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	47
emotion	calm	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	45
emotion	calm	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	63
emotion	calm	22	hand horizontal 9 strong	horizontal hand	horizontal	hand	strong	9	32
emotion	calm	23	hand horizontal 18 light	horizontal hand	horizontal	hand	light	18	35
emotion	calm	24	hand horizontal 18 strong	horizontal hand	horizontal	hand	strong	18	30
emotion	comfort	1	finger vertical 3 light	vertical finger	vertical	finger	light	3	11
emotion	comfort	7	hand vertical 3 light	vertical hand	vertical	hand	light	3	128
emotion	comfort	8	hand vertical 3 strong	vertical hand	vertical	hand	strong	3	74
emotion	comfort	9	hand vertical 9 light	vertical hand	vertical	hand	light	9	77
emotion	comfort	10	hand vertical 9 strong	vertical hand	vertical	hand	strong	9	29
emotion	comfort	11	hand vertical 18 light	vertical hand	vertical	hand	light	18	52
emotion	comfort	12	hand vertical 18 strong	vertical hand	vertical	hand	strong	18	51
emotion	comfort	14	finger horizontal 3 strong	horizontal finger	horizontal	finger	strong	3	16
emotion	comfort	15	finger horizontal 9 light	horizontal finger	horizontal	finger	light	9	17
emotion	comfort	19	hand horizontal 3 light	horizontal hand	horizontal	hand	light	3	38
emotion	comfort	20	hand horizontal 3 strong	horizontal hand	horizontal	hand	strong	3	85
emotion	comfort	21	hand horizontal 9 light	horizontal hand	horizontal	hand	light	9	130
